date,hr_beg,ACTUAL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE
2014-01-10,8,6787.13,6709.4387755102025
2014-01-10,9,6892.91,6595.287755102042
2014-01-10,10,6160.02,6600.7959183673465
2014-01-10,11,5411.38,6659.444897959184
2014-01-10,12,6090.69,6725.155102040818
2014-01-10,13,6040.3,6630.83673469388
2014-01-10,14,6255.02,6409.2795918367365
2014-01-10,15,6109.83,6267.375510204082
2014-01-10,16,5743.4,6077.010204081633
2014-01-10,17,6313.66,5828.351020408165
2014-01-10,18,7052.22,5647.03469387755
2014-01-10,19,7243.4,5391.54693877551
2014-01-10,20,7728.83,5329.559183673469
2014-01-10,21,7999.36,5333.500000000001
2014-01-10,22,7196.92,4923.0714285714275
2014-01-10,23,4469.02,4567.777551020409
2014-01-11,0,3040.7,4588.512244897959
2014-01-11,1,3240.44,4790.310204081632
2014-01-11,2,3440.81,4878.71224489796
2014-01-11,3,3757.78,5145.938775510203
2014-01-11,4,3635.41,5742.032653061226
2014-01-11,5,3152.43,6279.410204081634
2014-01-11,6,3012.59,6562.889795918367
2014-01-11,7,2977.96,6436.765306122449
2014-01-11,8,2408.49,6261.755102040817
2014-01-11,9,1712.54,6101.255102040819
2014-01-11,10,1601.8,5988.624489795917
2014-01-11,11,1688.68,5781.332653061223
2014-01-11,12,1545.71,5331.448979591836
2014-01-11,13,1259.01,4530.55918367347
2014-01-11,14,1015.05,3453.4102040816324
2014-01-11,15,664.45,2004.4755102040817
2014-01-11,16,372.64,1198.638775510204
2014-01-11,17,603.42,993.5530612244895
2014-01-11,18,942.52,945.7877551020408
2014-01-11,19,1074.9,952.8102040816326
2014-01-11,20,1124.05,1044.5755102040814
2014-01-11,21,1189.64,1169.3714285714282
2014-01-11,22,1215.49,1213.8571428571427
2014-01-11,23,1133.32,1443.7346938775513
2014-01-12,0,1728.33,1819.1734693877547
2014-01-12,1,2879.85,2593.1408163265305
2014-01-12,2,4505.49,3681.8612244897954
2014-01-12,3,6617.18,4659.755102040816
2014-01-12,4,8106.22,5654.897959183673
2014-01-12,5,8702.03,6607.895918367349
2014-01-12,6,8877.12,7340.257142857146
2014-01-12,7,8874.57,7721.118367346936
2014-01-12,8,8649.07,8050.779591836734
2014-01-12,9,8579.34,8249.428571428574
2014-01-12,10,8531.85,8339.475510204082
2014-01-12,11,8550.59,8369.765306122448
2014-01-12,12,8650.93,8405.20408163265
2014-01-12,13,8662.69,8414.142857142855
2014-01-12,14,8682.81,8343.334693877552
2014-01-12,15,8506.16,8133.195918367345
2014-01-12,16,8490.77,7914.33673469388
2014-01-12,17,8674.02,8009.434693877552
2014-01-12,18,8608.71,8029.006122448982
2014-01-12,19,8621.99,7911.226530612247
2014-01-12,20,8624.77,7643.669387755103
2014-01-12,21,8628.14,7089.791836734695
2014-01-12,22,8072.01,6128.069387755099
2014-01-12,23,7428.43,5865.167346938776
2014-01-13,0,7607.08,5903.640816326531
2014-01-13,1,7908.71,6087.212244897958
2014-01-13,2,8059.11,6346.767346938774
2014-01-13,3,8375.43,6650.379591836735
